#devopsagainsthumanity,http://devopsagainsthumanity.com
White Cards (noun or gerund - single word or phrase),Black Cards (direct question or fill-in-the-blank statement with one blank or two) (5 underscores = blank)
DNS,My editor of choice is _____.
DNS,_____ it; ship it.
DNS,_____-Stack Developer
DNS,_____SQL
DNS,"That's not a hacker, that's my _____! "
DNS,It has been __ days since the last _____
DNS,I've _____ things you people wouldn't _____
DNS,The _____ on the server were deleted because _____ .
DNS,"This week, Aphyr runs _____ through jepsen."
DNS,The intern just ran _____ on the load balancer.
DNS,I need you to do a _____ with _____ before _____ .
DNS,Lambdas are just a lame implementation of _____.
DNS,C-x; C-_____
DNS,This users wants _____ because _____ .
DNS,_____ should be deprecated in favour of _____ .
DNS,_____ mismatch between _____ and _____
DNS,I put _____ on the scripts to make it run faster.
DNS,"Developers do not get access to production machines, because of _____."
DNS,Developers need access to production machines because _____.
DNS,We run _____ in a cron job every 15 minutes.
DNS,The client says it needs more _____ .
DNS,We're a _____ as a Service company.
DNS,I could hire a _____ to do your job!
DNS,"My next Velocity talk is called ""_____ops"""
DNS,The RFO for the global outage was _____ compunded by _____
DNS,I was hired to maintain this 20 year old script that runs our critical _____ infrastructure.
DNS,Amazon Elastic _____
DNS,"I know we use _____, but I wrote this critical program in _____."
DNS,I'll just have Ops spin up a couple of _____ environments.
DNS,I'm writing my next IRC bot with _____.
DNS,SIG____
DNS,I cannot wait until someone makes a _____ cluster out of these.
DNS,C will finally be displaced by _____
DNS,__________.io
DNS,"We don't need to worry about _____, We're using MongoDB."
DNS,Why is ______ better than Hadoop?
DNS,FC067: _____
DNS,"Oh, the _____ is just a hack to get the _____ to run."
DNS,How do I even _____ ?
DNS,_____ all the things.
DNS,ERROR: _____ NOT FOUND
DNS,"We don't need backups, we've got _____."
DNS,Fixing your father's computer with _____.
DNS,it's always a _____ DNS problem
DNS,_____ with this one weird trick.
DNS,"_____ isn't new, we used to do it in the '70s on mainframes."
DNS,Puppet is better than Chef because _____ and _____
DNS,How is _____ better than _____ ?
DNS,Learn ____ the hard way
DNS,vagrant up _____
DNS,bollocks up _____
DNS,You can fix  _____ with _____ .
DNS,We took the plunge and rewrote _______ in Go
DNS,Implementing _____________ should take only 2 lines of code.
DNS,I accidentally the entire ___________ is this dangerous?
DNS,Good enough for ________ work
DNS,"Yeah, but can it run _________?Y"
DNS,Security through _____.
DNS,_____? You can safely ignore that. Usually.
DNS,_____ isn't cool. You know what's cool? _____
DNS,"I made a new editor, better than vim and emacs. It's called _____"
DNS,640k should be enough for _____.
DNS,_____ worked in dev.
DNS,You can't fix _____
DNS,How hard could it be to port Linux to _____.
DNS,I just finished working on my rocket powered _____.
DNS,Richard Stallman will kill you with his teeth for _____.
DNS,DB tuning with _____.
DNS,Can anyone help me get _____ running on Cisco IOS?
DNS,Real _____ don't use _____
DNS,_____ on XEN
DNS,Please bring back _____. You broke my workflow.
DNS,I cut-and-pasted this StackOverflow code for my _____.
DNS,I'm just finishing up my manifesto on _____.
DNS,r/_____.
DNS,We can discuss _____ at the stand-up meeting.
DNS,A Beowulf cluster of _____.
DNS,We're demoing _____ for _____ at SXSW.
DNS,I aliased _____ to git _____.
DNS,"10 PRINT ""_____""; GOTO 10"
DNS,alt.binaries._____
DNS,It is completely dark. You are likely to be eaten by a _____.
DNS,Conway's Game of _____.
DNS,Next year I'll start learning _____
DNS,s/_____/_____/g
DNS,_____ is the newest gTLD
DNS,Works on my _____.
DNS,One does not simply _____
DNS,"Sorry, you'll need to open a ticket before we can _____."
DNS,ln -s _____ _____
DNS,_____
DNS,_____ is dead.
DNS,_____. What the fuck does that mean?
DNS,_____-to-butt plugin
DNS,Make it _____.
DNS,_____coin.
DNS,_____ computing
DNS,grep _____ | mail _____
DNS,_____ just got pwned.
DNS,"It's like _____, but with _____ and list comprehensions."
DNS,Software Defined _____.
DNS,"I don't have any UNIX Beards in stock, but we do have  _____"
DNS,"Amazon does _____, why can't we?"
DNS,_____ nagios
DNS,I can't believe you're still using _____.
DNS,/dev/______: Device is busy
DNS,"_____, You don't exist, go away!"
DNS,"I tried _____, The doctors say I'll never walk again."
DNS,git --_____
DNS,The _____ Public License.
DNS,_____ begins with _____.
DNS,Couldn't we use _____?
DNS,_____ would be so much better if we rewrote it in Clojure.
DNS,So I just found _____ and _____ running in a screen session.
DNS,Why is root running _____ under tmux?
DNS,"Instead of installing _____, what if we just used _____"
DNS,I need a webinar like I need _____.
DNS,"Fuck it, time to break out the emergency _____."
DNS,"On the plus side, we finally got rid of _____."
DNS,_____ thought leader.
DNS,Fuck it: _____ looks good to me.
DNS,It looks like you're trying to _____. Can I help?
DNS,bash: command not found: _____
DNS,ETOOMUCH_____
DNS,How did _____ ever work?
DNS,"Whoops, I thought that method was supposed to _____ the _____"
DNS,I thought you said _____ was secure?
DNS,git: You are in detached _____ state.
DNS,Why don't we just fork _____ ?
DNS,Network dropped connection because of _____.
DNS,We turned off _____ and everything magically got better.
DNS,I found a Samba share full of _____
DNS,_____. What could go wrong?
DNS,Install ______
DNS,I installed _____ by accident.
DNS,Read-eval-_____-loop.
DNS,We should try it with an actual _____.
DNS,Is _____ something we need to optimize for?
DNS,Hack _____ into redis.
DNS,_____ Considered Harmful
DNS,Never _____ before a demonstration
DNS,The _____ is used when the CPU is on fire
DNS,modperl can be used to implement _____
DNS,_____ runs Ruby as root
DNS,Larry Wall trained as missionary then _____
DNS,Listening to the fans in the server farm leads to _____
DNS,_____ and _____ are rumoured to be working on a python module for a helicam
DNS,A lot of disk space is needed for _____
DNS,automagical _____
DNS,Whoever made the unscheduled change to production on Friday will be forced to use _____.
DNS,Install _____
DNS,Never question the ____
DNS,I can't wait until we no longer use _____
DNS,I bet if we switch to _____ it will just work
DNS,_____ has just discovered _____.  We're doomed.
DNS,A neckbeard made of _____.
DNS,"False alarm, it was just _____ running _____."
DNS,_____ running on a rack of _____.
DNS,"No, _____ being hopelessly broken is NOT an emergency."
DNS,Our new startup is the _____ for _____.
DNS,_____ make me a sandwich
DNS,_____ over IP
DNS,_____ is a hardware problem.
DNS,"I AM working, I'm waiting for the _____ run to finish."
DNS,The first rule of _____ is: You do not talk about _____.
DNS,Google Analytics says 100% of my website visitors are _____
DNS,_____ will never get job in Microsoft
DNS,4chan.org is powered by _____.
DNS,We can _____ just like Netflix
DNS,_____ is how I resolve all merge conflicts.
DNS,Why does someone keep re-implementing system utilities in _____?
DNS,Remember when you told me to tell you when you were acting _____ and _____? ---you're doing it now. 
DNS,Our only hope at recovering the data is _____
DNS,_____: the gift that keeps on giving.
DNS,_____ has been killed with fire.  My work is done here.
DNS,Problem exists between Keyboard and _____
DNS,100% government funded _____!
DNS,The _____ certification program.
DNS,_____? I'd hit that.
DNS,_____ makes robots moves
DNS,I just finished writing an API for _____.
DNS,_____ is a batch command to shut the fuck up
DNS,_____.  Failed to cache catalog.
DNS,Everytime you allocate you have to _____ when you're done
DNS,"Sorry, I'm all out of _____-fu."
DNS,90% of everything is _____.
DNS,"Given enough _____, all bugs are _____."
DNS,_____ never use on git
DNS,The first 90% of development is _____. The second 90% is _____.
DNS,"When you logged in there, did you see a _____ that said _____"
DNS,Purely numeric hostname and not a _____ -----rejecting!
DNS,I'm pretty sure _____ isn't thread safe
DNS,We don't have to worry about CAP Theorem because of _____.
DNS,"I don't always test my code, but when I do I do it in _____."
DNS,"Those who don't understand _____ are condemned to reinvent it, poorly"
DNS,The NSA is really interested in our latest project: _____.
DNS,"Just change the _____, it'll be fine. "
DNS,"Yeah, you need to modprobe _____ to get it to recognize the _____"
DNS,"Oh, we're devops! We have ______ in the office, but only the DBA can touch it."
DNS,We're spending 20% of this sprint doing _____.
DNS,_____ found a new OpenSSL vulernability people are calling _____.
DNS,Management has changed all our job titles to _____.
DNS,while true; do ____; done
DNS,The consultant we hired is certain that _____ will drastically increase the performance of _____
DNS,Could you just push this update for _____?  It should be a no-op.
DNS,"If we're all going to get fired, let's get fired for _____."
DNS,"We can't pay you, but we can offer _____ in compensation."
DNS,A soiled napkin with the contents of _____ scribbled on it
DNS,Who thought that _______ was a good idea?
DNS,It's not the recommended configuration to use _____ with _____ but it's in production right now.
DNS,We wrote our own build tool based on _____
DNS,I've received a Microsoft MVP Award for _____
DNS,We rewrote _____ in _____
DNS,The ticket to install _____?  I deletegated it.
DNS,"Some people, when confronted with a problem, think ""I know, I'll use _____."" Now they have two problems."
DNS,Artisanally crafted _____.
DNS,"The backups are fine, but the restore process is _____"
DNS,I can't believe QA made a ticket for _____
DNS,The _____ that ops provides developers.
DNS,Oracle is proud to announce that the next edition of Java features ______
DNS,Move _____ and break things.
DNS,_____: ci or not ci?
DNS,I opened the server cabinet and it was full of _____.
DNS,Crossing _____ could lead to total protonic reversal.
DNS,The next big thing is _____
DNS,I once made a robot around the concept of _____
DNS,I _____ your stupid issue!
DNS,Nine circles of ___ hell.
DNS,I once wrote an NPM module called _____.js
DNS,I asked the contractor for _____ and they delivered _____.
DNS,"Welcome to Programming 101, our first topic will be ______"
DNS,The Genius Bar recommends you try ______
DNS,Post-modern coding is defined by _________
DNS,_____ | sudo sh
DNS,ASP has finally developed and replaced _____
DNS,
DNS,_____ has been put under the WTFPLicense
DNS,"Here's _____, as I promised."
DNS,"I'd like _____, _____, and a Fluttershy."
DNS,It compiles _____ to JavaScript.
DNS,Only the Enterprise Edition(tm) has _____.
DNS,_____ is a proof of concept and an actual _____ _____
DNS,The trouble with kids these days is _____
DNS,______ is the new Stalinism.
DNS,_____ for the win!
DNS,_____ is the new _____
DNS,Don't read the _____ or the _____ pages
DNS,"With _____, you write once, run nowhere."
DNS,_____ discontinued support for the Linux version.
DNS,"A manager told me I couldn't remove our dependency on _____, but I got around it with _____."
DNS,_____ implements every single standard for _____.  Poorly.
DNS,Just think of the Internet as _____.
DNS,Would you like _____ with that?
DNS,_____? We've got that.
DNS,It took over 40 hours to document _____. 
DNS,//TODO: _____.
DNS,npm install _____.
DNS,Circular imports import _____. 
DNS,A firewall rule for ____.
DNS,_____ is why the jDBA thought it might be time to go to #mysql on freenode
DNS,_____ is the only reason the jDBA survived typing rm -rf /
DNS,_____ exists?
DNS,It's like _____ on _____.
DNS,"I came here to drink milk and _____, and I've just finished my milk. "
DNS,End-to-end _____.
DNS,_____ will help you remember to sanitze your database inputs.
DNS,Fascists cannot stand _____.
DNS,0._______________
DNS,RTFM so you can ___________.
DNS,_____ took EBS down again today.
DNS,I ssh'd into a server running _____ and promptly noped the fuck out of there.
DNS,"_____, the final solution."
DNS,We're running _____ in production?!
DNS,_____ has root access.
DNS,We don't have enough package managers said _____
DNS,_____ is more reliable than ______
DNS,"Of course culture is important to us, that's why we have _____."
DNS,I'd rather stick my penis in _____.
DNS,I'd trust all my stuff to _____.
DNS,_____ ass-as-sin-vice.
DNS,My _____ for a _____.
DNS,Nice _____ I'll take it.
DNS,@horse_____
DNS,such _____. wow.
DNS,"That's funny, did ____ used to be here?"
DNS,I can't believe you improved ______ by deleting __________
DNS,The only thing more dangerous than _____ is a programmer with _____
DNS,1.  _____ 2. _____  3. Profit.
DNS,"""Monads are easy! Just think of them as _________"""
DNS,_____: powered by the cloud.
DNS,"Before you penetrate someone's backend, you first must _____"
DNS,I upload my worm to _____
DNS,I fork my children with _____
DNS,My shared socket connects to ____'s backend
DNS,Multiple backend penetration  is achieved with _____
DNS,You can force kill your children by _____
DNS,_____ corrupts your children's memory
DNS,_____ behaves like a dangling socket
DNS,Verify your ______ when you wipe your childrens sockets
DNS,#!/bin/_____
DNS,make _____ && sudo make install
DNS,I bet the person who wrote this uses _____.
DNS,"I'm not _____, my code is compiling."
DNS,"Don't worry, we have unit tests for _____."
DNS,"As a _____, I want _____."
DNS,The only non-conformance in this year's audit was _____.
DNS,Blaming intern for the _____
DNS,_____ is my favourite thing about _____
DNS,I wish that we had more _____ in our office
DNS,I've once been so drunk that _____ actually made sense
DNS,To understand _____ you must first understand _____.
DNS,_____ @ 127.0.0.1 -p _____
DNS,_____? You mean _____!
DNS,_____ is coming out of stealth mode
DNS,My code is not compiling because of _____.
DNS,_____ ate all my memory
DNS,_____ is always a good practice.
DNS,"Don't mind me, I'm just practicing _____ ."
DNS,We accidently the whole _____.
DNS,It's easy! Just run _____
DNS,I assure you _____ is secure!
DNS,Our backup policy is _____
DNS,____ the XML in that JSON file
DNS,pacman -Syu accidentally _____ everything
DNS,I saw a High Scalability blog post about _____
DNS,"""We didn't think anyone was using _____!"""
DNS,Do you wanna build a _____?
DNS,IBM just created JSONxx to encapsulate JSON in XML in _____
DNS,I never truly understood eXtreme programming until I encountered _____
DNS,The Agile Manifesto taught me to pick _____ over _____
DNS,_____ should be a singleton!
DNS,Flash is dying because _____
DNS,"Neo, the matrix has one fatal flaw, you must find _____"
DNS,"Javascript is the best language ever, thanks to _____"
DNS,"Last night while drunk, the W3C declared _____ as a new web standard."
DNS,North Korea finally launched warheads because of _____
DNS,Last night I accidentally ran sudo chmod -R 777 /. I just blame ______.
DNS,During the lunch break I like to think about _____.
DNS,Nobody will value your work if you don't use _____ 
DNS,"_____, because scientists don't know how to code"
DNS,"_____, because Knuth."
DNS,The entire system failed because of _____
DNS,The meeting between Europe and the USA was cancelled because of _____
DNS,We missed the launch window due to confusion from _____
DNS,_____ wasted thousands of dollars
DNS,No one can authenticate because of ______
DNS,_____ caused the servers to melt down
DNS,_____ invalidated all the assumptions in our monitoring system
DNS,_____ because _____.
DNS,CAMS is outdated because of _____.
DNS,_____: Easy one-step installation
DNS,"_____, because even the hobos of Market Street need a cluster scheduler."
DNS,We need to update the ________
DNS,"It's cool, they use _____ at Etsy."
DNS,Code as _____.
DNS,_____ is how the cloud works.
DNS,How does it look in Opera?
DNS,The _____ shell
DNS,_____ in haskell
DNS,Say _____ one more time; I dare you!
DNS,"The cloud runs on _____, with a bit of _____."
DNS,"_____, because who needs monitoring. "
DNS,This problem can be completely solved with _____ implemented in _____.
DNS,_____ vs _____... fight!
DNS,I regret to inform you your weekend has been revoked due to _____.
DNS,"All alerts go to ____, which is handled by _____."
DNS,I've got 99 problems but _____ ain't one.
DNS,140 characters is just enough to explain _____.
DNS,_____ all the way down.
DNS,______ continuously spawns zombie processes
DNS,Elliptic-Curve Diffie-Helman breaks against _______
DNS,Why isn't my script working?
DNS,ITIL best practices suggest _____ is the next step
DNS,"We would have gotten the funding, if only our slide deck included _____"
DNS,Have you tried _____ and _____ ?
DNS,Why can't I login to the VPN?
DNS,I left _____ in the server room.
DNS,I stuck my hand in a sysadmin's beard and pulled out _____
DNS,"Before exiting, the program kills _____"
DNS,Cookbooks containing _____ have been known to cause _____
DNS,"Once we added _____ to the firewall rules, _____ worked perfectly"
DNS,My pre-commit hook replaces tab characters with _____
DNS,I was up all night debugging _____
DNS,Error: insufficient _____
DNS,"The Product Team handed me a spec, they want _____ in the next release of _____"
DNS,The malware came from an infected ad on _____ .com
DNS,Killing child processes releases resources back to _____
DNS,That regular expression is designed to match _____ but not _____
DNS,"The vendor solution didn't have log aggregation, but it did have _____"
DNS,Our custom log rotation scripts have the added feature of _____
DNS,"This year, Cross-Site Request Forgery (CSRF) was knocked out of the OWASP Top 10, and replaced by _____"
DNS,"Nagios sucks, let's replace it with _____"
DNS,My pull request was rejected because it contained _____
DNS,My stacktrace revealed _____
DNS,Chef encountered an error attempting to create _____
DNS,"Since the 1950s, engineers have been striving toward a more effective means of generating _____"
DNS,"Our code was efficient, except for the module containing _____, which was slower than _____"
DNS,"I need to re-munge the CSV, replacing the commas with _____"
DNS,"We strive for continuous deployment, continuous delivery, and continuous _____"
DNS,Data-driven decisions are to be replaced with _____
DNS,"The ruby gem is useless, it's a lesser implementation of _____"
DNS,Windows ME had a service pack that solved the problem of _____
DNS,Lennart Poettering's latest project is _____.
DNS,"_____ is the quickest way to identify what is burning in the server room."
DNS,"Oh, we store all our docs in _____."
DNS,I accidentally _____ the whole database.
DNS,It's not a bug it's a ______.
DNS,What killed the mood at E3?
DNS,"To replace camelCase, the new C++ standards mandate variables be named using _____."
DNS,I'm sorry _____ isn't numberwang.
DNS,I'm sorry _____ isn't wangernum.
DNS,"_____ became self aware and kidnapped the sysadmins."
DNS,That's the first time I've ever seen ProGuard used to obfuscate _____.
DNS,"Every day at work I implement _____ and my mother still tells her friends I ""do computers""."
DNS,That's the first time I've ever seen comments written in _____.
DNS,"It's not a problem, I'll just _____ it later"
DNS,I tend to solve the problem of _____ by _____.
DNS,HAL 9000 went mad because someone compiled _____ on his system.
DNS,What you are referring to as ______ is actually GNU/_______
DNS,We sub-contrated ____ to build our MVP.
DNS,"______ is highly available, idempotent, and load balancing."
DNS,Our new disaster recovery plan: _____
DNS,All your ____ are belong to us

